overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,False,"12 24, 2003",A2PCCJ0WT9JTTZ,B0000AHOOP,John Kent,I don't really like this game because all you do is fight.,Tak & the Power of JuJu,1072224000,2,,
1.0,False,"11 19, 2014",A21GF43I7KXM4N,B00GMFKYH6,FogShark,"I own 3 360's - Living room/Patio/Bedroom (and an XBOX One I rarely use except as a pass-thru for a 360 in the living room)
1. Oldest 360 will not play it - after unplugging internet and no account logged in I finally made it through the first disk install after 5 tries of install = ""Your data is corrupt"", delete and try again. After getting it installed it is unplayable due to the choppy sound cutting in and out - you could play it silent but the sound cutting in/out is unbearable. Awaiting a downloaded patch hopefully.

2. Middle 360 (R2D2) installed first try (after unplug and logout) but music is also choppy SFX are Ok but without music it's dead to play. Also awaiting patch.

3. New 360 - unplug/logout installed first try and plays beautifully - not a glitch or problem with sight/sound. Mature son is playing it and loves the game.

So - I would advise against the buggy 360 version for now - at least until WBros has a patch and you can install the game without having to unplug Internet. (You can plug it back in afterwards and login to Xbox Live to play - provided you have newer Xbox 360).
I will come back and rate the game eventually, but with the reproducible and unfixable choppy sound I have to give it one star. Warner Bros did not test this adaptation enough.",Defective adaptation for 360,1416355200,10,{'Format:': ' Video Game'},
1.0,False,"10 23, 2015",A27KA3I4NKFDDO,B00Z9HS7BI,Zero32,"Firstly I was so happy to see rock band back.. then utterly saddened. Do not buy unless you have a windows only pc with Bluetooth why you ask? Well the instruments do not work out of box and need updates that cannot be done thru the ps4. I ended up returning mine after two hours to my local shop as I don't have Bluetooth on my pc, Sure I could go buy a adapter but why should you have to spend more money? And mac users will be out of luck completely. Also a quick Google search will show you ever those who have the ability to update them find nothing but errors and broken guitars afterwards. I have no idea why Mad Katz was picked to make these.. quality and support is just terrible!",Terrible!,1445558400,3,"{'Edition:': ' Guitar Bundle', 'Platform:': ' PlayStation 4'}",
1.0,False,"10 27, 2011",A51ETXCJWI9EF,B005WXIO44,MsMischa,"Do not waste your hard waned money on this game.  I loved the series but Stronghold 3 is rotten.  First of all there is no skirmish mode, which basically means no replay value and no fun.  Second, the game is so filled with bugs that I could not list all of them here.  You will not be able to get thru one of the pre made games without batting it.  Just take my word and the word of all the others that wasted their money and buy a game that is fun.",Terrible...save your money....wish I had,1319673600,4,{'Platform:': ' PC'},
1.0,True,"03 8, 2018",A2Q79DXM1XF4JW,B00XBDM4R0,Nick,"My Genesis won't turn on. Ive plugged in the power cord and your cords and... nothing... I tried with several original Genesis games, reproduction carts, nothing works. I don't really want to return it but I hope someone can help me out. I included a picture of my setup. I love old systems but its been so long since Ive played my Genesis, maybe I set something up wrong?",Doesnt work on my Model 3 Genesis,1520467200,,,['https://images-na.ssl-images-amazon.com/images/I/710YJZX2IhL._SY88.jpg']
1.0,True,"02 10, 2012",AG20G5TGY1UKU,B003O6EA4E,TARTOOT,"I'm sorry to say it because I am a huge fan of the Soul Calibur series, but this is just the worst edition in the series.  Period.  Single player modes are just inexcusable; there is no content and it will bore you after 30 minutes of play.  It feels more ""cartoonish"" than previous versions as well and seems to be a step backwards from IV (which was freaking awesome).  The characters that are left out is probably the worst part of the fifth addition, though the single player modes give stiff competition to that idea.  I'm returning it.  If you haven't played IV and are looking to give Soul Calibur a try, pick a copy of the 4th installment; it should be pretty cheap by now and is way, way better than 5.  Part 3 is still my favorite because of the battle map thing (I forget what it is called), but the ""tower of souls"" in part 4 was awesome.","Worst in the series, not worth 60 bucks!",1328832000,15,"{'Edition:': ' Standard', 'Platform:': ' Xbox 360'}",
1.0,True,"10 9, 2017",A1OYXWQX8GL0MH,B00L6P6LZQ,Jeffrey M Smith,doesnt work with my sony tv....very annoyed,very annoyed,1507507200,,,
1.0,True,"04 12, 2014",A1ZX4LE91WYZJA,B008NMPSEU,Susan Heath,I am sure I would have liked the games but the disk is defective and would not install.  It was very disappointing.  This is the second time I was asked to review this.,Would not install,1397260800,,,
1.0,True,"10 18, 2016",A2XYC1JYH5JC0L,B00ENFVJJO,Melfour,only one half of the charging station has ever worked....,"half works, should cost half a dollar",1476748800,,,
1.0,False,"10 27, 2000",A2J57EQ9KPGXR9,B00001ZT47,H. A Huffman,"""I am only left asking, ""how long until Daikaitaina 2? """" - Ha-Ha-Ha-Ha-Ha-Ha-Ha!
I really tried to like this game.
I felt like screaming ""Turn the lights on!"" during the first level. What a murky morass. I installed this game twice and I still can't stand it.
What angers alot of gamers is this: We wonder what games didn't get made because ""Daikajokea"" sucked up so much cash?",What a terrible mess,972604800,8,,
